"","linII.time","ips","ips.interval","ips.adp","log.ips","log.ips.interval","log.ips.adp","mds","mds.interval","mds.apd","log.mds","log.mds.interval","log.mds.apd","ptt","ptt.interval","ptt.adp","log.ptt","log.ptt.interval","log.ptt.adp"
"18000",13000,1.08,0.117137136241538,0,0.715397642953075,0.0427524686924044,0,0.961538461538462,0.119892630931257,0,0.644358283426734,0.0684042934346743,0,2.02272727272727,0.174386103705202,0,1.08641230736941,0.0557084953101325,0
"18250",13250,0.933333333333333,0.0879883851166141,0,0.644503078383384,0.0518401615428205,0,0.875,0.145942432309411,0,0.597513718225834,0.0850038139276151,0,2.06451612903226,0.239369039952012,0,1.09781083576498,0.0733636395946216,0
"18500",13500,0.980487804878049,0.112722240000981,0,0.663781990210532,0.05592809766641,0,1.0625,0.150835709599294,0,0.705817965188325,0.0581869169126642,0,2.04,0.239515956323025,0,1.09340406644191,0.0678002729811674,0
"18750",13750,1.0695652173913,0.106312363398832,0,0.721509145170367,0.0358589298470634,0,1.04545454545455,0.202972402417793,0,0.685424497069245,0.107494289527499,0,2.4375,0.437126507241706,0,1.20982084799495,0.0908520133735004,0
"19000",14000,1,0,0,0.693147180559945,0,0,1.11111111111111,0.217777777777778,0,0.73819885923863,0.073471114509827,0,2,0.6048691318514,0,1.06495999276629,0.186018146654981,0
"19250",14250,0.833333333333333,0.326666666666667,0,0.577622650466621,0.20963166667527,0,1,0,0,0.693147180559945,0,0,2,0,0,1.09861228866811,0,0
"19500",14500,1.4,0.534205952793489,0,0.838541031785655,0.162954011235762,0,0.75,0.49,0,0.519860385419959,0.240163245149794,0,2.5,0.565803263805833,0,1.242453324894,0.162771455531644,0
"19750",14750,1,0,0,0.693147180559945,0,0,1,0,0,0.693147180559945,0,0,2,0,0,1.09861228866811,0,0
"20000",15000,1,0,0,0.693147180559945,0,0,1.28571428571429,0.361478445646026,0,0.808994354305135,0.129259853336409,0,2.42857142857143,0.582866479850517,0,1.21268481669922,0.152006393192873,0
"20250",15250,1.11111111111111,0.217777777777778,0,0.73165535725772,0.0682706345442989,0,1.1875,0.197525314833314,0,0.769171888330226,0.0755092208266821,0,2.61538461538462,0.275265695566699,1,1.2756474101769,0.0713800051941528,0
"20500",15500,1.17777777777778,0.468601913233845,0,0.727312147198608,0.227780331105555,0,1.5,0.839221861806122,0,0.828302216596,0.317402839889194,0,2.5,0.438269323589959,0,1.242453324894,0.126082227302399,0
